"","GC=F.Open","GC=F.High","GC=F.Low","GC=F.Close","GC=F.Volume","GC=F.Adjusted"
"306",1261.5,1270.09997558594,1255.90002441406,1264.5,27,1264.5
"307",1257.09997558594,1264.40002441406,1251.5,1253.80004882812,542,1253.80004882812
"308",1256.19995117188,1256.19995117188,1243.40002441406,1243.80004882812,1061,1243.80004882812
"309",1244,1252.40002441406,1243.80004882812,1248.19995117188,20,1248.19995117188
"310",1247.69995117188,1247.69995117188,1218.59997558594,1223.69995117188,28,1223.69995117188
"311",1214.19995117188,1221.40002441406,1214.19995117188,1221.40002441406,13,1221.40002441406
"312",1211.5,1222.19995117188,1210,1219.90002441406,33,1219.90002441406
"313",1217.80004882812,1235.59997558594,1217.69995117188,1235.59997558594,189732,1235.59997558594
"314",1241.40002441406,1245,1223.40002441406,1226.90002441406,48248,1226.90002441406
"315",1225.59997558594,1239.59997558594,1224.5,1234.19995117188,3377,1234.19995117188
"316",1232.30004882812,1235.19995117188,1209.19995117188,1222.19995117188,1602,1222.19995117188
"317",1221.69995117188,1222.30004882812,1215,1218,2038,1218
"318",1215.40002441406,1236.69995117188,1215.40002441406,1228.40002441406,477,1228.40002441406
"319",1230.40002441406,1230.40002441406,1217.59997558594,1222.5,248,1222.5
"320",1224.80004882812,1242.90002441406,1224.59997558594,1236.19995117188,375,1236.19995117188
"321",1241,1242.80004882812,1232,1242.5,409,1242.5
"322",1241.5,1258.69995117188,1241.5,1256.69995117188,437,1256.69995117188
"323",1260,1261.69995117188,1253.69995117188,1259.40002441406,185,1259.40002441406
"324",1256.5,1256.90002441406,1241.30004882812,1246.80004882812,203,1246.80004882812
"325",1231.40002441406,1243.69995117188,1224.5,1225,264,1225
"326",1225.69995117188,1235,1225.69995117188,1233.09997558594,97,1233.09997558594
"327",1238.69995117188,1241.09997558594,1232.19995117188,1233.59997558594,304,1233.59997558594
"328",1231.59997558594,1256.19995117188,1228.80004882812,1253,386,1253
"329",1256.09997558594,1256.09997558594,1243,1253.19995117188,180,1253.19995117188
"330",1247.69995117188,1270.59997558594,1247.59997558594,1249,124,1249
"331",1248.5,1248.5,1228,1228.69995117188,188,1228.69995117188
"332",1231.59997558594,1240.90002441406,1231.59997558594,1238.90002441406,442,1238.90002441406
"333",1239.80004882812,1244.19995117188,1233,1242.19995117188,97,1242.19995117188
"334",1248.59997558594,1249.5,1248.59997558594,1249.19995117188,547,1249.19995117188
"335",1245.90002441406,1270.09997558594,1238.5,1265.5,887,1265.5
"336",1267.30004882812,1295.5,1267.19995117188,1289.19995117188,464,1289.19995117188
"337",1292.09997558594,1304.40002441406,1290.40002441406,1294.69995117188,192,1294.69995117188
"338",1292.69995117188,1301.5,1284.5,1290.69995117188,151,1290.69995117188
"339",1286.90002441406,1290,1273,1273.30004882812,109,1273.30004882812
"340",1282.90002441406,1286,1270.80004882812,1271.40002441406,330,1271.40002441406
"341",1278.59997558594,1295.59997558594,1276.90002441406,1292.90002441406,305,1292.90002441406
"342",1286.5,1286.5,1262.30004882812,1265.59997558594,341,1265.59997558594
