"","LUXU.PA.Open","LUXU.PA.High","LUXU.PA.Low","LUXU.PA.Close","LUXU.PA.Volume","LUXU.PA.Adjusted"
"1497",173.660003662109,174.127899169922,173.660003662109,174.127899169922,0,174.127899169922
"1498",176.770004272461,188.647903442383,176.770004272461,184.155807495117,106,184.155807495117
"1499",183.597396850586,183.932006835938,183.594802856445,183.932006835938,75,183.932006835938
"1500",184.485702514648,185.551803588867,184.485702514648,185.507095336914,32,185.507095336914
"1501",183.774703979492,183.848007202148,183.128799438477,183.128799438477,1,183.128799438477
"1502",181.891403198242,183.652801513672,181.891403198242,183.234893798828,355,183.234893798828
"1503",184.983505249023,187.985198974609,184.983505249023,187.172698974609,45,187.172698974609
"1504",188.517501831055,188.909194946289,188.441192626953,188.909194946289,34,188.909194946289
"1505",188.901794433594,191.284606933594,188.901794433594,190.814300537109,7,190.814300537109
"1506",189.837295532227,190.5,189.837295532227,190.08349609375,24,190.08349609375
"1507",190.646606445312,191.619003295898,190.646606445312,191.023406982422,268,191.023406982422
"1508",191.079605102539,191.561996459961,191.079605102539,191.561996459961,0,191.561996459961
"1509",193.465301513672,195.329895019531,193.465301513672,195.329895019531,895,195.329895019531
"1510",197.998001098633,197.998001098633,196.046203613281,196.046203613281,0,196.046203613281
"1511",196.555297851562,197.023406982422,196.050704956055,196.050704956055,36,196.050704956055
"1512",195.587799072266,197.647201538086,195.587799072266,197.188507080078,30,197.188507080078
"1513",195.451400756836,195.451400756836,194.384796142578,194.384796142578,200,194.384796142578
"1514",196.286697387695,197.669906616211,196.286697387695,197.669906616211,0,197.669906616211
"1515",197.039001464844,197.369705200195,197.025802612305,197.025802612305,60,197.025802612305
"1516",197.641494750977,200.63459777832,197.641494750977,200.302597045898,66,200.302597045898
"1517",200.490798950195,200.490798950195,200.390502929688,200.390502929688,0,200.390502929688
"1518",200.304702758789,201.22590637207,200.304702758789,201.22590637207,175,201.22590637207
"1519",201.337005615234,201.337005615234,200.771697998047,201.092407226562,50,201.092407226562
"1520",201.969604492188,201.969604492188,201.466796875,201.466796875,0,201.466796875
"1521",199.647796630859,200.260696411133,199.647796630859,200.260696411133,0,200.260696411133
"1522",200.383407592773,200.383407592773,199.062194824219,199.062194824219,0,199.062194824219
"1523",200.153106689453,201.593902587891,200.153106689453,200.859497070312,2,200.859497070312
"1524",200.66650390625,202.321502685547,200.66650390625,201.707595825195,59,201.707595825195
"1525",202.999206542969,203.585800170898,202.801696777344,202.801696777344,176,202.801696777344
"1526",204.75,205.75129699707,204.512802124023,205.165496826172,119,205.165496826172
"1527",205.721206665039,206.722305297852,204.943496704102,204.943496704102,98,204.943496704102
"1528",202.183700561523,202.183700561523,199.755004882812,201.244003295898,45,201.244003295898
"1529",201.85139465332,201.85139465332,200.457107543945,200.457107543945,0,200.457107543945
"1530",201.790603637695,202.468307495117,201.790603637695,202.468307495117,422,202.468307495117
"1531",203.285797119141,203.285797119141,202.84489440918,202.84489440918,0,202.84489440918
"1532",204.668701171875,205.166595458984,204.668701171875,205.166595458984,0,205.166595458984
"1533",206.893203735352,207.539794921875,206.893203735352,206.908294677734,75,206.908294677734
"1534",206.915802001953,207.668701171875,206.915802001953,207.668701171875,0,207.668701171875
"1535",207.578399658203,207.578399658203,207.499404907227,207.499404907227,0,207.499404907227
"1536",208.818298339844,209.938903808594,206.984405517578,206.984405517578,135,206.984405517578
"1537",206.059295654297,206.546493530273,206.059295654297,206.546493530273,0,206.546493530273
"1538",208.043792724609,208.745498657227,207.723693847656,207.723693847656,150,207.723693847656
"1539",208.616104125977,211.019393920898,208.616104125977,211.019393920898,16,211.019393920898
"1540",214.041702270508,215.139999389648,214.041702270508,215.139999389648,530,215.139999389648
"1541",212.718994140625,212.718994140625,210.362594604492,211.139602661133,92,211.139602661133
"1542",211.880096435547,212.057693481445,211.880096435547,212.057693481445,18,212.057693481445
"1543",212.403305053711,212.403305053711,210.835403442383,210.835403442383,0,210.835403442383
"1544",211.287399291992,212.301300048828,211.287399291992,211.899795532227,10,211.899795532227
"1545",210.054397583008,210.054397583008,207.580795288086,207.580795288086,0,207.580795288086
"1546",207.131698608398,208.091293334961,207.131698608398,208.091293334961,0,208.091293334961
"1547",209.905502319336,209.905502319336,207.464492797852,207.464492797852,23,207.464492797852
"1548",207.849594116211,210.667205810547,207.849594116211,210.356994628906,966,210.356994628906
"1549",212.525405883789,212.525405883789,211.14469909668,211.597793579102,14,211.597793579102
"1550",211.205001831055,211.41780090332,211.118194580078,211.118194580078,240,211.118194580078
"1551",211.754302978516,211.754302978516,208.053894042969,208.053894042969,0,208.053894042969
"1552",208.330993652344,210.974700927734,208.330993652344,210.470596313477,120,210.470596313477
"1553",209.758499145508,209.758499145508,205.972793579102,205.972793579102,0,205.972793579102
"1554",202.570495605469,207.729293823242,202.570495605469,207.729293823242,0,207.729293823242
"1555",204.652404785156,204.652404785156,203.973098754883,203.973098754883,0,203.973098754883
"1556",204.648406982422,204.896606445312,204.648406982422,204.896606445312,0,204.896606445312
"1557",207.938903808594,210.416107177734,207.938903808594,210.416107177734,0,210.416107177734
"1558",212.12370300293,212.12370300293,210.849700927734,210.849700927734,15,210.849700927734
"1559",211.203094482422,211.562194824219,211.203094482422,211.562194824219,0,211.562194824219
"1560",213.038192749023,216.119094848633,213.038192749023,216.119094848633,220,216.119094848633
"1561",217.614898681641,217.614898681641,216.925003051758,216.925003051758,0,216.925003051758
"1562",218.329406738281,218.55940246582,218.151000976562,218.151000976562,74,218.151000976562
"1563",218.742492675781,218.742492675781,217.234405517578,217.234405517578,140,217.234405517578
"1564",216.969802856445,218.214996337891,216.969802856445,218.214996337891,5,218.214996337891
"1565",217.046203613281,218.406494140625,217.046203613281,217.490798950195,820,217.490798950195
"1566",219.050994873047,220.572998046875,219.050994873047,220.572998046875,110,220.572998046875
"1567",221.128005981445,221.128005981445,220.156204223633,220.156204223633,20,220.156204223633
"1568",218.107696533203,218.754104614258,216.595596313477,216.595596313477,10,216.595596313477
"1569",217.858795166016,218.338394165039,217.306304931641,217.306304931641,28,217.306304931641
"1570",219.142501831055,221.235900878906,219.142501831055,221.235900878906,0,221.235900878906
"1571",220.019302368164,220.019302368164,219.800003051758,220.009002685547,3,220.009002685547
"1572",219.820098876953,219.820098876953,216.459503173828,218.225997924805,252,218.225997924805
"1573",220.067993164062,220.908004760742,220.067993164062,220.908004760742,0,220.908004760742
"1574",223.690505981445,224,221.045593261719,221.045593261719,67,221.045593261719
"1575",214.906494140625,216.552200317383,214.906494140625,216.546203613281,112,216.546203613281
"1576",218.40950012207,220.453704833984,218.40950012207,220.453704833984,34,220.453704833984
"1577",218.715103149414,220.260498046875,218.715103149414,219.888000488281,14,219.888000488281
"1578",221.758102416992,222.116806030273,221.758102416992,222.116806030273,0,222.116806030273
"1579",219.314895629883,219.700698852539,216.178298950195,216.806106567383,436,216.806106567383
"1580",213.878005981445,213.878005981445,208.365203857422,208.365203857422,288,208.365203857422
"1581",212.667892456055,216.634399414062,212.667892456055,215.504806518555,280,215.504806518555
"1582",215.257400512695,218.468704223633,215.257400512695,218.468704223633,220,218.468704223633
"1583",219.34260559082,220.706802368164,219.34260559082,220.706802368164,25,220.706802368164
"1584",222.205093383789,224.294097900391,222.205093383789,224.294097900391,30,224.294097900391
"1585",223.037796020508,223.722396850586,221.08349609375,223.263595581055,292,223.263595581055
"1586",225.193496704102,226.199996948242,225.193496704102,225.352294921875,610,225.352294921875
"1587",226.489807128906,227.214401245117,225.981002807617,225.981002807617,51,225.981002807617
"1588",225.343704223633,226.569900512695,225.343704223633,225.420196533203,98,225.420196533203
"1589",227.864395141602,228.499801635742,227.864395141602,228.499801635742,0,228.499801635742
"1590",224.97590637207,225.697601318359,222.6708984375,222.6708984375,52,222.6708984375
"1591",222.724105834961,226.509704589844,222.724105834961,225.272399902344,502,225.272399902344
"1592",223.209197998047,223.209197998047,220.628799438477,220.628799438477,182,220.628799438477
"1593",217.698104858398,218.699996948242,217.698104858398,218.408004760742,110,218.408004760742
"1594",215.583694458008,216.522003173828,215.583694458008,216.522003173828,700,216.522003173828
"1595",217.508193969727,217.508193969727,217.252395629883,217.252395629883,17,217.252395629883
"1596",218.571594238281,218.571594238281,217.482604980469,217.482604980469,0,217.482604980469
"1597",215.943496704102,220.947296142578,215.943496704102,220.947296142578,8,220.947296142578
"1598",221.469100952148,221.469100952148,221.156692504883,221.156692504883,0,221.156692504883
"1599",222.303298950195,224.471893310547,222.303298950195,223.861099243164,74,223.861099243164
"1600",227.063293457031,228.100494384766,225.939407348633,228.100494384766,45,228.100494384766
"1601",229.651397705078,229.718597412109,227.289093017578,227.289093017578,720,227.289093017578
"1602",227.575103759766,228.690307617188,227.026504516602,228.464202880859,448,228.464202880859
